Strategy,Perplexity,Self-BLEU,Repetition (%),Zipf Coefficient
Beam Search (b=4),150.9998069773899,"{'Beam Search (b=4)': 1.0, 'Pure Sampling': 0.2597660262931205, 'Temperature (t=0.9)': 0.25674430902827877, 'Top-k (k=640)': 0.2838146371131681, 'Top-k with Temperature (k=40, t=0.7)': 0.37625586790991894, 'Nucleus Sampling (p=0.95)': 0.3305830994060288}",0.0,0.5612467786449163
Pure Sampling,150.9998069773899,"{'Beam Search (b=4)': 1.0, 'Pure Sampling': 0.2597660262931205, 'Temperature (t=0.9)': 0.25674430902827877, 'Top-k (k=640)': 0.2838146371131681, 'Top-k with Temperature (k=40, t=0.7)': 0.37625586790991894, 'Nucleus Sampling (p=0.95)': 0.3305830994060288}",0.0,0.6655982979802959
Temperature (t=0.9),150.9998069773899,"{'Beam Search (b=4)': 1.0, 'Pure Sampling': 0.2597660262931205, 'Temperature (t=0.9)': 0.25674430902827877, 'Top-k (k=640)': 0.2838146371131681, 'Top-k with Temperature (k=40, t=0.7)': 0.37625586790991894, 'Nucleus Sampling (p=0.95)': 0.3305830994060288}",0.0,0.6514225108897156
Top-k (k=640),150.9998069773899,"{'Beam Search (b=4)': 1.0, 'Pure Sampling': 0.2597660262931205, 'Temperature (t=0.9)': 0.25674430902827877, 'Top-k (k=640)': 0.2838146371131681, 'Top-k with Temperature (k=40, t=0.7)': 0.37625586790991894, 'Nucleus Sampling (p=0.95)': 0.3305830994060288}",0.0,0.7470541847912535
"Top-k with Temperature (k=40, t=0.7)",150.9998069773899,"{'Beam Search (b=4)': 1.0, 'Pure Sampling': 0.2597660262931205, 'Temperature (t=0.9)': 0.25674430902827877, 'Top-k (k=640)': 0.2838146371131681, 'Top-k with Temperature (k=40, t=0.7)': 0.37625586790991894, 'Nucleus Sampling (p=0.95)': 0.3305830994060288}",0.0,0.7611828404219829
Nucleus Sampling (p=0.95),150.9998069773899,"{'Beam Search (b=4)': 1.0, 'Pure Sampling': 0.2597660262931205, 'Temperature (t=0.9)': 0.25674430902827877, 'Top-k (k=640)': 0.2838146371131681, 'Top-k with Temperature (k=40, t=0.7)': 0.37625586790991894, 'Nucleus Sampling (p=0.95)': 0.3305830994060288}",0.0,0.6947142209146888
